Model,Mark,MQC Tool,IEX Tool,Lot,Slot,Date,Image name,Image Angle,um_per_px,Top(px),Buttom(px),Xedge(px),2Dcode_width(px),2Dcode_height(px),2Dcode_dot count,Top(um),Buttom(um),Xedge(um),2Dcode_width(um),2Dcode_height(um),Judge,Alert,PATH
156HT6,V24A84Z700_02_156HT6,AAMOV200,AAIEX100,V24A84Z700,2,20240811093533,104_11_0_err_judge_m.jpg,0,0.10684782608695652,43,47,71,105,110,46,377,412,623,921,965,OK,,http://10.97.141.73/chipid2dcode/V24A84Z700_02_156HT6/104_11_0_err_judge_m.jpg
156HT6,V24A84Z700_02_156HT6,AAMOV200,AAIEX100,V24A84Z700,2,20240811093533,105_11_0_err_judge_m.jpg,0,0.10879347826086956,56,45,Mid,104,108,46,491,395,Mid,912,947,OK,,http://10.97.141.73/chipid2dcode/V24A84Z700_02_156HT6/105_11_0_err_judge_m.jpg
156HT6,V24A84Z700_02_156HT6,AAMOV200,AAIEX100,V24A84Z700,2,20240811093533,106_11_0_err_judge_m.jpg,0,0.11358695652173913,59,45,112,,,,517,395,982,,,OK,,http://10.97.141.73/chipid2dcode/V24A84Z700_02_156HT6/106_11_0_err_judge_m.jpg
156HT6,V24A84Z700_02_156HT6,AAMOV200,AAIEX100,V24A84Z700,2,20240811093533,107_11_0_err_judge_m.jpg,-90,0.10729347826086957,49,59,108,101,97,46,430,517,947,886,851,OK,,http://10.97.141.73/chipid2dcode/V24A84Z700_02_156HT6/107_11_0_err_judge_m.jpg
156HT6,V24A84Z700_02_156HT6,AAMOV200,AAIEX100,V24A84Z700,2,20240811093533,108_11_0_err_judge_m.jpg,-90,0.10729347826086957,52,56,Mid,101,102,58,456,491,Mid,886,894,OK,,http://10.97.141.73/chipid2dcode/V24A84Z700_02_156HT6/108_11_0_err_judge_m.jpg
156HT6,V24A84Z700_02_156HT6,AAMOV200,AAIEX100,V24A84Z700,2,20240811093533,109_11_0_err_judge_m.jpg,-90,0.11358695652173913,71,72,88,,,,623,631,772,,,OK,,http://10.97.141.73/chipid2dcode/V24A84Z700_02_156HT6/109_11_0_err_judge_m.jpg
156HT6,V24A84Z700_02_156HT6,AAMOV200,AAIEX100,V24A84Z700,2,20240811093533,110_11_0_err_judge_m.jpg,0,0.11521739130434783,69,73,87,,,,605,640,763,,,OK,,http://10.97.141.73/chipid2dcode/V24A84Z700_02_156HT6/110_11_0_err_judge_m.jpg
156HT6,V24A84Z700_02_156HT6,AAMOV200,AAIEX100,V24A84Z700,2,20240811093533,111_11_0_err_judge_m.jpg,0,0.11364130434782609,58,59,53,105,108,41,509,517,465,921,947,NG,XEdge OVER SPEC (465),http://10.97.141.73/chipid2dcode/V24A84Z700_02_156HT6/111_11_0_err_judge_m.jpg
156HT6,V24A84Z700_02_156HT6,AAMOV200,AAIEX100,V24A84Z700,2,20240811093533,112_11_0_err_judge_m.jpg,0,0.11704347826086955,68,56,79,108,108,35,596,491,693,947,947,OK,,http://10.97.141.73/chipid2dcode/V24A84Z700_02_156HT6/112_11_0_err_judge_m.jpg
156HT6,V24A84Z700_02_156HT6,AAMOV200,AAIEX100,V24A84Z700,2,20240811093533,113_11_0_err_judge_m.jpg,0,0.11684782608695653,51,61,52,,,,447,535,456,,,NG,XEdge OVER SPEC (456),http://10.97.141.73/chipid2dcode/V24A84Z700_02_156HT6/113_11_0_err_judge_m.jpg
